"year","state","state_po","county_name","county_fips","candidate","party","candidatevotes","totalvotes","percent_total_votes"
"2000","IDAHO","ID","BEAR LAKE","16007","GEORGE W. BUSH","REPUBLICAN",2296,2899,79.1997240427734
"2000","IDAHO","ID","BENEWAH","16009","GEORGE W. BUSH","REPUBLICAN",2606,3687,70.6807702739355
"2000","IDAHO","ID","BINGHAM","16011","GEORGE W. BUSH","REPUBLICAN",10628,14465,73.4739025233322
"2000","IDAHO","ID","BLAINE","16013","AL GORE","DEMOCRAT",3748,7938,47.2159234063996
"2000","IDAHO","ID","BOISE","16015","GEORGE W. BUSH","REPUBLICAN",2019,3055,66.088379705401
"2000","IDAHO","ID","BONNER","16017","GEORGE W. BUSH","REPUBLICAN",8945,14537,61.5326408474926
"2000","IDAHO","ID","BONNEVILLE","16019","GEORGE W. BUSH","REPUBLICAN",24988,33556,74.4665633567767
"2000","IDAHO","ID","BOUNDARY","16021","GEORGE W. BUSH","REPUBLICAN",2797,3884,72.0133882595263
"2000","IDAHO","ID","BUTTE","16023","GEORGE W. BUSH","REPUBLICAN",1054,1460,72.1917808219178
"2000","IDAHO","ID","CAMAS","16025","GEORGE W. BUSH","REPUBLICAN",359,507,70.8086785009862
"2000","IDAHO","ID","CANYON","16027","GEORGE W. BUSH","REPUBLICAN",30560,43000,71.0697674418605
"2000","IDAHO","ID","CARIBOU","16029","GEORGE W. BUSH","REPUBLICAN",2601,3177,81.8696883852691
"2000","IDAHO","ID","CASSIA","16031","GEORGE W. BUSH","REPUBLICAN",5983,7279,82.1953565050144
"2000","IDAHO","ID","CLARK","16033","GEORGE W. BUSH","REPUBLICAN",311,382,81.413612565445
"2000","IDAHO","ID","CLEARWATER","16035","GEORGE W. BUSH","REPUBLICAN",2885,3896,74.0503080082135
"2000","IDAHO","ID","CUSTER","16037","GEORGE W. BUSH","REPUBLICAN",1794,2330,76.9957081545064
"2000","IDAHO","ID","ELMORE","16039","GEORGE W. BUSH","REPUBLICAN",4891,6966,70.212460522538
"2000","IDAHO","ID","FRANKLIN","16041","GEORGE W. BUSH","REPUBLICAN",3594,4243,84.7042187131746
"2000","IDAHO","ID","FREMONT","16043","GEORGE W. BUSH","REPUBLICAN",4242,5088,83.372641509434
"2000","IDAHO","ID","GEM","16045","GEORGE W. BUSH","REPUBLICAN",4376,5983,73.1405649339796
"2000","IDAHO","ID","GOODING","16047","GEORGE W. BUSH","REPUBLICAN",3502,5026,69.6776760843613
"2000","IDAHO","ID","IDAHO","16049","GEORGE W. BUSH","REPUBLICAN",5806,7452,77.9119699409554
"2000","IDAHO","ID","JEFFERSON","16051","GEORGE W. BUSH","REPUBLICAN",6480,7836,82.6952526799387
"2000","IDAHO","ID","JEROME","16053","GEORGE W. BUSH","REPUBLICAN",4418,6007,73.5475278841352
"2000","IDAHO","ID","KOOTENAI","16055","GEORGE W. BUSH","REPUBLICAN",28162,43812,64.2791929151831
"2000","IDAHO","ID","LATAH","16057","GEORGE W. BUSH","REPUBLICAN",8161,15311,53.3015479067337
"2000","IDAHO","ID","LEMHI","16059","GEORGE W. BUSH","REPUBLICAN",2859,3641,78.5223839604504
"2000","IDAHO","ID","LEWIS","16061","GEORGE W. BUSH","REPUBLICAN",1295,1688,76.718009478673
"2000","IDAHO","ID","LINCOLN","16063","GEORGE W. BUSH","REPUBLICAN",1049,1574,66.6454891994917
"2000","IDAHO","ID","MADISON","16065","GEORGE W. BUSH","REPUBLICAN",7941,8970,88.5284280936455
"2000","IDAHO","ID","MINIDOKA","16067","GEORGE W. BUSH","REPUBLICAN",4907,6518,75.2838293955201
"2000","IDAHO","ID","NEZ PERCE","16069","GEORGE W. BUSH","REPUBLICAN",10577,16021,66.0195992759503
"2000","IDAHO","ID","ONEIDA","16071","GEORGE W. BUSH","REPUBLICAN",1426,1798,79.3103448275862
"2000","IDAHO","ID","OWYHEE","16073","GEORGE W. BUSH","REPUBLICAN",2450,3188,76.8506900878294
"2000","IDAHO","ID","PAYETTE","16075","GEORGE W. BUSH","REPUBLICAN",4961,6858,72.3388743073782
"2000","IDAHO","ID","POWER","16077","GEORGE W. BUSH","REPUBLICAN",1872,2709,69.1029900332226
"2000","IDAHO","ID","SHOSHONE","16079","GEORGE W. BUSH","REPUBLICAN",2879,5385,53.4633240482823
"2000","IDAHO","ID","TETON","16081","GEORGE W. BUSH","REPUBLICAN",1745,2671,65.3313365780606
"2000","IDAHO","ID","TWIN FALLS","16083","GEORGE W. BUSH","REPUBLICAN",15794,22530,70.1020861074123
"2000","IDAHO","ID","VALLEY","16085","GEORGE W. BUSH","REPUBLICAN",2548,3978,64.0522875816993
"2000","IDAHO","ID","WASHINGTON","16087","GEORGE W. BUSH","REPUBLICAN",2899,4070,71.2285012285012
"2000","ILLINOIS","IL","ADAMS","17001","GEORGE W. BUSH","REPUBLICAN",17331,30109,57.5608622006709
"2000","ILLINOIS","IL","ALEXANDER","17003","AL GORE","DEMOCRAT",2357,4022,58.6026852312283
"2000","ILLINOIS","IL","BOND","17005","GEORGE W. BUSH","REPUBLICAN",3804,7032,54.0955631399317
"2000","ILLINOIS","IL","BOONE","17007","GEORGE W. BUSH","REPUBLICAN",8617,15523,55.5111769632159
